room,00:1e:42:2f:e0:31:,00:4e:35:50:b8:e0:,00:81:c4:93:d3:40:,00:81:c4:93:d3:41:,00:81:c4:93:d3:4e:,00:81:c4:93:d3:4f:,00:a6:ca:10:c7:40:,00:a6:ca:10:c7:41:,00:a6:ca:10:c7:4e:,00:a6:ca:10:c7:4f:,00:a6:ca:10:c8:00:,00:a6:ca:10:c8:01:,00:a6:ca:10:c8:0e:,00:a6:ca:10:c8:0f:,00:a6:ca:48:41:80:,00:a6:ca:48:41:81:,00:a6:ca:56:6a:10:,00:a6:ca:56:6a:11:,00:a6:ca:56:6a:1e:,00:a6:ca:56:6a:1f:,00:a6:ca:56:71:01:,00:a6:ca:56:75:70:,00:a6:ca:56:75:71:,00:a6:ca:56:75:7e:,00:a6:ca:56:75:7f:,00:a6:ca:56:76:f0:,00:a6:ca:56:76:f1:,00:a6:ca:56:76:fe:,00:a6:ca:56:76:ff:,00:a6:ca:5f:8d:20:,00:a6:ca:5f:8d:21:,00:a6:ca:5f:8d:2e:,00:a6:ca:5f:8d:2f:,00:a6:ca:71:76:e0:,00:a6:ca:71:76:e1:,00:a6:ca:71:76:ef:,00:a6:ca:71:77:70:,00:a6:ca:71:77:71:,00:a6:ca:71:77:7e:,00:a6:ca:71:77:7f:,02:22:6c:03:4e:3a:,02:71:47:cf:a2:70:,04:a1:51:c1:c8:56:,14:8f:21:d7:bd:01:,1c:b7:2c:82:1c:50:,1c:b7:2c:82:1c:54:,20:83:f8:c7:e4:cf:,20:83:f8:c7:ea:93:,20:83:f8:c7:f0:e7:,20:83:f8:c7:f0:e8:,20:83:f8:c7:f7:71:,20:83:f8:c7:f7:72:,20:83:f8:c7:ff:cf:,20:83:f8:da:f4:cd:,20:83:f8:da:fb:21:,20:83:f8:dc:54:15:,20:83:f8:e0:3d:1e:,20:83:f8:e0:3d:1f:,20:83:f8:e0:ae:f4:,20:b0:01:2f:4b:07:,20:b0:01:fb:0d:f9:,20:c9:d0:26:99:c4:,24:d7:9c:80:37:40:,24:d7:9c:80:37:41:,24:d7:9c:81:83:20:,24:d7:9c:81:83:21:,2c:31:24:c0:bc:00:,2c:31:24:c0:bc:01:,2c:31:24:c0:bc:0e:,2c:31:24:c0:bc:0f:,30:aa:e4:3b:fb:74:,30:aa:e4:3b:fb:79:,38:91:b7:3d:b9:20:,38:91:b7:3d:b9:21:,40:ae:30:cd:ce:7e:,42:e0:c8:a9:1a:24:,50:0f:80:d2:c1:a0:,50:0f:80:d2:c1:a1:,5c:e2:8c:ae:5c:45:,60:b9:c0:9c:49:00:,60:b9:c0:9c:49:01:,60:b9:c0:9c:49:02:,60:b9:c0:9c:49:0d:,60:b9:c0:9c:49:0e:,60:b9:c0:9c:49:0f:,62:cc:21:34:9f:d9:,64:5e:10:78:a8:fc:,64:64:4a:49:e0:6d:,6a:58:40:b4:b8:4c:,6a:58:40:b4:b8:4e:,6e:c7:ec:52:12:c5:,70:4d:7b:90:05:78:,70:4d:7b:90:05:7c:,74:36:6d:16:50:11:,74:6f:f7:01:8a:30:,78:81:02:25:77:ab:,80:16:05:07:b4:21:,80:16:05:ec:07:98:,84:d1:5a:28:7d:bc:,84:d4:7e:36:4c:81:,84:d4:7e:36:4c:82:,88:dc:96:75:25:d6:,8c:1e:80:46:11:c0:,8c:1e:80:46:11:c1:,8c:1e:80:46:11:ce:,8c:1e:80:46:11:cf:,8c:1e:80:46:19:40:,8c:1e:80:46:19:41:,8c:1e:80:46:19:4e:,8c:1e:80:46:19:4f:,8c:1e:80:46:1a:ae:,8c:1e:80:46:1a:af:,8c:1e:80:46:1d:a0:,8c:1e:80:46:1d:a1:,8c:1e:80:46:1d:a2:,8c:1e:80:51:e3:00:,8c:1e:80:51:e3:01:,8c:1e:80:51:e3:0e:,8c:1e:80:51:e3:0f:,92:b1:44:ab:cd:49:,9e:ae:d3:ac:af:a6:,9e:ae:d3:ea:58:97:,a4:16:e7:c7:4c:04:,a4:91:b1:78:4e:28:,a6:b6:68:0b:7d:ea:,a8:58:40:b4:b8:4d:,a8:63:7d:3c:b2:de:,ac:9e:17:50:ca:cc:,b0:4e:26:60:b3:c2:,b0:aa:77:a8:42:50:,b0:aa:77:a8:42:51:,b0:aa:77:a8:42:52:,b0:aa:77:a8:42:5d:,b0:aa:77:a8:42:5e:,b0:aa:77:a8:42:5f:,b4:1c:30:e0:ed:37:,b6:94:ad:6c:29:ee:,b8:11:4b:07:8f:00:,b8:11:4b:07:8f:01:,b8:11:4b:07:8f:0f:,be:2d:06:4c:ac:70:,be:2d:06:4c:ac:72:,c0:49:43:9f:c9:23:,c2:2d:06:4c:ac:71:,c2:49:43:af:c9:23:,c4:60:26:c9:6c:84:,c4:b9:cd:f2:a6:20:,c4:b9:cd:f2:a6:21:,c4:b9:cd:f2:a6:2e:,c4:b9:cd:f2:a6:2f:,c6:19:54:61:35:72:,c8:54:4b:ae:9e:29:,c8:54:4b:ff:5a:d7:,ca:2c:4f:a2:4d:a0:,ca:2c:4f:a2:50:a6:,ca:2c:4f:a2:64:a4:,ca:2c:4f:a2:67:62:,cc:32:e5:9f:93:55:,cc:b1:82:20:7f:64:,d0:b6:6f:1a:dd:e3:,d2:24:3e:14:c9:f5:,d8:ec:e5:ae:62:c8:,d8:ec:e5:da:5e:39:,dc:f7:19:09:08:00:,dc:f7:19:09:08:01:,dc:f7:19:09:08:0e:,dc:f7:19:09:08:0f:,dc:f7:19:45:33:80:,dc:f7:19:45:33:81:,dc:f7:19:45:36:20:,dc:f7:19:45:36:21:,dc:f7:19:45:36:2e:,dc:f7:19:45:36:2f:,e4:c3:2a:7e:15:18:,e4:fa:c4:64:d9:fa:,e6:e7:49:26:79:1d:,e8:65:d4:a1:d4:81:,ea:6a:56:cc:7e:51:,fa:25:51:66:0a:a6:
Garden,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,0.0,-77.0,-78.0,0.0,0.0,0.0,-69.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,-70.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-78.0,0.0,0.0,0.0,0.0,-67.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-76.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,-76.0,-74.0,0.0,0.0,0.0,-72.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-84.0,0.0,0.0,-70.0,-75.0,0.0,-68.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-78.0,0.0,0.0,0.0,-88.0,-68.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,-72.0,-72.0,0.0,0.0,0.0,-74.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-81.0,0.0,0.0,0.0,0.0,0.0,-69.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,-65.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,0.0,0.0,-62.0,-61.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-75.0,0.0,0.0,0.0,-74.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-76.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,-75.0,0.0,0.0,-83.0,-84.0,-66.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,-72.0,-72.0,0.0,0.0,0.0,-75.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-82.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,-74.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-64.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,-85.0,-66.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,-73.0,0.0,0.0,0.0,-76.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,-82.0,0.0,0.0,-83.0,-80.0,0.0,-76.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,-82.0,0.0,0.0,-81.0,-82.0,0.0,0.0,0.0,0.0,-81.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-65.0,0.0,0.0,0.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,-71.0,0.0,0.0,0.0,0.0,-62.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,-70.0,0.0,0.0,0.0,-74.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,-82.0,0.0,0.0,0.0,-81.0,0.0,-76.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,-64.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-79.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-71.0,0.0,0.0,0.0,0.0,-67.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,-86.0,-73.0,-68.0,0.0,0.0,0.0,-73.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-79.0,0.0,0.0,-80.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,-83.0,-86.0,-64.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,-75.0,-67.0,0.0,0.0,0.0,-69.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,-78.0,-76.0,0.0,-75.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,0.0,0.0,0.0,-86.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-69.0,0.0,0.0,0.0,0.0,-63.0,-66.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,-82.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0,-84.0,-84.0,0.0,0.0,-84.0,-86.0,-72.0,-70.0,0.0,0.0,0.0,-71.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,0.0,-82.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-71.0,0.0,0.0,0.0,0.0,-66.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,-69.0,0.0,0.0,0.0,-73.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,-79.0,0.0,-76.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-69.0,0.0,0.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-67.0,0.0,0.0,0.0,0.0,-67.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,-73.0,-73.0,0.0,0.0,0.0,-72.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,-81.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,-73.0,0.0,0.0,0.0,0.0,-68.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-87.0,-85.0,-87.0,0.0,-88.0,0.0,0.0,0.0,-72.0,-70.0,-87.0,-83.0,0.0,-72.0,-73.0,-79.0,-79.0,0.0,0.0,0.0,0.0,-77.0,-77.0,-84.0,-82.0,0.0,0.0,0.0,-74.0,0.0,-77.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-83.0,0.0,0.0,0.0,0.0,-81.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,-72.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,-67.0,-67.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-70.0,-74.0,-75.0,0.0,0.0,-66.0,-70.0,-84.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0
