room,,"""ALHN-542A""","""Bitumia""","""BreakdownClub2""","""DIRECT-6e-HP M209 LaserJet""","""DIRECT-F2-HP ENVY Photo 6200""","""DIRECT-b1-HP M28 LaserJet""","""DIRECT-nA[TV]UE46ES6710""","""Extended""","""FAST.F2""","""FASTWEB-3AC985""","""FASTWEB-5025DF""","""FASTWEB-91B977""","""FASTWEB-AB096A""","""FASTWEB-BEE951""","""FASTWEB-BF056F""","""FASTWEB-DB3EF9""","""FASTWEB-DYGT4H""","""FASTWEB-E308E1""","""FASTWEB-EBF045""","""FASTWEB-PG8F62""","""FASTWEB-RQ553D""","""FASTWEB-RTDXQK""","""FASTWEB-TQc73j""","""FASTWEB-UNUR7L""","""FASTWEB-XHX2N9""","""FRITZ!Powerline 540E""","""GUEST-FAST.F2""","""GUEST-FASTWEB-UNUR7L""","""HP-Print-11-ENVY 4500 series""","""Home&Life SuperWiFi-3AD9""","""Infostrada-9753D0""","""LUISA WIFI""","""Merlina""","""NETGEAR""","""OPPO Find X3 Lite 5G""","""PosteMobile-54503325""","""Proscenic-6717_20403803""","""R5""","""SKYWIFI_8N63A""","""TIM-19916303""","""TIM-24423291""","""TIM-25272942""","""TIM-25308900""","""TIM-26702496""","""TIM-30420627""","""TIM-30917863""","""TIM-35959767""","""TIM-60675901""","""TIM-73249559""","""TIM-80454610""","""TIM-MK""","""TIM_8sSd5h""","""TISCALI-4339""","""TISCALI-67403F_2GEXT""","""TP-Link 9F6A""","""TP-Link_Dom 2.4""","""TeleTu_8c59c3799524""","""Telecom-15637755""","""Telecom-85274097""","""Tenda_44BA58""","""UniFi Edward Holly""","""Vodafone-24412114""","""Vodafone-34166928""","""Vodafone-34391920""","""Vodafone-34640056""","""Vodafone-67801224""","""Vodafone-C00700115""","""Vodafone-C00910115""","""Vodafone-C01690165""","""Vodafone-C02460188""","""Vodafone-C86039958""","""Vodafone-Guest""","""Vodafone-WiFi""","""Vodafone-queenshouse""","""Vodafone2GHZ AYFOR""","""Vodafone5GTestOnHumans""","""VodafoneMobileWiFi-D2AC46""","""VodafoneStai molto serena""","""WINDTRE-BoLoGnA""","""WebPocket-8FA8""","""Wind3 HUB - 1A3AE4""","""Wind3 HUB-25FDF6""","""Wind3 HUB-7F6236""","""Wind3 HUB-EDC871""","""enel-WiFi_7560D121""","""filippini2.4ghz""","""iPhone di Gloria""","""iliadbox-106B4E""","""iliadbox-6038A4""","""qUT4D962105d5ddJYryOwQMzfvDuE0Mo""","""tenda""","""voUCSRhx4iSCI0MRvzUH2evKisbApf1x""",ADB-C7D46C,ADB-C7E4CE,ADB-C7EA92,ADB-C7F0E6,ADB-C7F770,ADB-C7FFCE,ADB-C80094,ADB-DAF4CC,ADB-DAFB20,ADB-DC5414,ADB-E03D1D,ADB-E05F49,ADB-E0AEF3,ADB-E0B001,ADB-E0B751,ALHN-1169-2,ALHN-1169-3,ALHN-1169-4,ALHN-ECEB_EXT,AP_CEA_PALLOTTI,Anto,Audi_MMI_4455,Audi_MMI_7577,Buttirouter,ConnectedCAM0252,D-Link-3CB2DD,DIRECT-67-HP ENVY 5000 series,DIRECT-D3AD4DAB,DIRECT-D3EAD897,DIRECT-MBUX 32894,FASTWEB-784E28,FASTWEB-AB6C42,FASTWEB-C7YF6Y,FASTWEB-E80723,FASTWEB-FB0DF9,FASTWEB-IR17,Galaxy A522EFC,HIKVISION-F6-QKPX,HiSmart-01-ca2c4fa24da0,HiSmart-01-ca2c4fa250a6,HiSmart-01-ca2c4fa264a4,HiSmart-01-ca2c4fa26762,Home&Life SuperWiFi-0955,Home&Life SuperWiFi-5C45,Home&Life SuperWiFi-9E29,Honor 9 Lite,Hotspot50C5,IPCAM-167511,L920PRO_2230634608,MASTROSTETO,MASTROSTETO_EXT,MIWIFI_2G_5fwK_EXT,MODENA 16,Martin Router King 2.4,Martin Router King 2.4_EXT,Martin Router King 5,Mohamed,My VW 3362,OPPO_CPH2135_co_apanpa,Operatori_Antalgik,RUT955_4BE4,RUT955_FA24,"Rich.ynm,",RipetitoreIrnerio,RoamWiFi-426353,Roncucci,RoncucciGuest,SKY0D8BB,Smartphone_connect_5960d8,SwingBar,TIM-27371385,TIM_3nQ7E5,TP-Link_44C2,TP-Link_5D79,TP-Link_A092,Terme San Petronio WiFi,U1068-436d67,VW_2817,Vodafone-34548986,Vodafone-34773808,Vodafone-57620841,Vodafone-57620841_EXT,Vodafone-A44452566,Vodafone-A58476141,Vodafone-A88140745,Vodafone-C01110192,Vodafone-C02160109,Vodafone-WiFi,Vodafoneroccoparrucchieri,Xiaomi 11T Pro,bruh,iPhone-LX65GV9R1H,wifi_camera_ac57_0034
Bathroom,0,-74,0,-63,-55,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,-77,0,0,-89,-77,0,0,0,0,0,0,-72,0,0,0,-87,0,0,0,0,-78,0,0,0,0,-71,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-77,0,-60,-50,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-72,-85,-82,0,0,0,0,-72,0,0,0,-81,0,0,0,0,-79,0,0,0,0,-77,0,-78,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-77,0,-60,-50,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-72,-85,-82,0,0,0,0,-72,0,0,0,-81,0,0,0,0,-79,0,0,0,0,-77,0,-78,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-77,0,-51,-55,0,-85,0,0,0,0,0,0,0,0,-66,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,-89,0,0,-87,0,0,0,-82,0,0,0,-78,0,0,0,-90,-82,0,-89,0,0,0,0,-81,0,0,0,-86,0,0,0,0,-87,0,0,0,0,-72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-77,0,-51,-55,0,-85,0,0,0,0,0,0,0,0,-66,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,-89,0,0,-87,0,0,0,-82,0,0,0,-78,0,0,0,-90,-82,0,-89,0,0,0,0,-81,0,0,0,-86,0,0,0,0,-87,0,0,0,0,-72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,0,0,-48,-61,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-86,-71,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,0,0,-48,-61,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-86,-71,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,-75,-76,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,-75,0,0,-83,-88,0,0,0,0,0,0,-85,0,0,0,-85,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,-75,-76,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,-75,0,0,-83,-88,0,0,0,0,0,0,-85,0,0,0,-85,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-83,0,-50,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-89,0,0,0,-84,0,0,0,0,-77,0,0,0,0,-74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-83,0,-50,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-89,0,0,0,-84,0,0,0,0,-77,0,0,0,0,-74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-83,0,-50,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-89,0,0,0,-84,0,0,0,0,-77,0,0,0,0,-74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathroom,0,-83,0,-50,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-89,0,0,0,-84,0,0,0,0,-77,0,0,0,0,-74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labs,-78,-69,0,-50,-56,0,0,0,0,0,0,0,0,0,0,-61,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labs,0,-77,0,-38,-52,0,-92,0,0,0,0,0,0,0,0,-60,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-68,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labs,0,0,0,-46,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,-77,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,-59,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-68,-69,0,0,0,0,0,-66,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labs,0,0,0,-61,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,-48,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,-69,-82,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labs,0,-71,0,-54,-67,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,-67,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,-67,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labs,0,-75,0,-41,-58,0,-79,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,-54,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,-79,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,-87,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labs,0,-74,0,-59,-62,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,-77,-75,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,-69,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
